['تویوتا کرولا', '2022', 'صفر', '4,300,000,000']
['هیوندای النترا', '2015', '96,961', '2,200,000,000']
['فولکس تیگوان', '2018', '3,900', '7,500,000,000']
['هیوندای النترا', '2017', '94,929', '2,425,000,000']
['هیوندای اکسنت', '2017', '48', '2,700,000,000']
['هیوندای سوناتا هیبرید', '2017', '63,801', '3,800,000,000']
['کمری هیبرید', '2016', '110,000', '5,800,000,000']
['هیوندای سانتافه', '2014', '160,952', '2,950,000,000']
['جک J4', '1403', 'صفر', '910,000,000']
['CS55 پلاس', '1403', '173', '3,040,000,000']
['رنو داستر', '2015', '217,600', '1,125,000,000']
['جک S5', '1394', '140,000', '940,000,000']
['ام وی ام X55 پرو', '1402', '2,470', '1,590,000,000']
['جک S3', '1399', '32,954', '960,000,000']
['پژو 206', '1398', '112,000', '430,000,000']
['پژو 207', '1400', '38,461', '865,000,000']
['لیفان 820', '1396', '98,672', '970,000,000']
['پژو 206 صندوقدار', '1395', '98,138', '505,000,000']
['پراید 151', '1402', '58', '323,000,000']
['چری تیگو 5', '1400', '68,000', '1,283,000,000']
['دانگ فنگ H30 cross', '1396', '110,999', '594,000,000']
['پراید 131', '1397', '140,709', '284,000,000']
['جک S3', '1397', '53,482', '925,000,000']
['سمند سورن', '1401', '24,151', '690,000,000']
['کوییک', '1402', '3,300', '519,000,000']
['دانگ فنگ H30 cross', '1396', '114,000', '645,000,000']
['کوییک', '1402', '42', '540,000,000']
['تارا', '1401', '19,491', '715,000,000']
['چری آریزو 5', '1400', '90,000', '1,030,000,000']
['پژو پارس', '1402', '14,297', '645,000,000']
['سمند سورن', '1402', '2,400', '740,000,000']
['پژو 206 صندوقدار', '1397', '45,000', '580,000,000']
['تیبا 2', '1396', '93,043', '317,000,000']
['هایما S7 توربو', '1402', '141', '1,675,000,000']
['هایما S7 توربو', '1400', '14,408', '1,525,000,000']
['جک S5', '1395', '121,905', '1,085,000,000']
['KMC J7', '1402', '52', '1,740,000,000']
['هایما S7 توربو', '1401', '16,000', '1,540,000,000']
['کوییک', '1399', '75,888', '357,000,000']
['تیبا 2', '1394', '115,000', '280,000,000']
['جک S5', '1396', '93,745', '1,120,000,000']
['هایما S7 توربو', '1401', '13,000', '1,575,000,000']
['فردا T5', '1402', '117', '1,700,000,000']
['هایما S7 توربو', '1397', '44,000', '1,365,000,000']
['تیبا 2', '1401', '45,000', '380,000,000']
['ساینا', '1402', '3,000', '430,000,000']
['برلیانس H230', '1395', '124,386', '515,000,000']
['سمند سورن', '1401', '53,000', '693,000,000']
['پژو 206', '1394', '99,624', '460,000,000']
['رنو داستر', '2015', '144,176', '1,050,000,000']
['هیوندای سانتافه', '2010', '327,921', '2,100,000,000']
['پژو 206 صندوقدار', '1396', '161,000', '430,000,000']
['پژو پارس', '1402', '116,504', '680,000,000']
['پژو 207', '1402', '6,000', '970,000,000']
['رنو تلیسمان', '2017', '21,000', '3,595,000,000']
['دنا پلاس', '1401', '15,000', '920,000,000']
['رانا', '1401', '19,000', '568,000,000']
['کوییک', '1401', '3,625', '420,000,000']
['دنا', '1394', '142,000', '535,000,000']
['سمند LX', '1399', '80,000', '453,000,000']
['فیدلیتی', '1401', '16,116', '1,700,000,000']
['سمند LX', '1392', '192,000', '363,000,000']
['ساینا', '1402', '12,000', '470,000,000']
['ام وی ام X22', '1401', '7,000', '835,000,000']
['پژو 206', '1399', '52,039', '518,000,000']
['لیفان X50', '1395', '143,290', '430,000,000']
['پژو 207 صندوقدار', '1397', '103,625', '725,000,000']
['ساینا', '1402', '13,000', '425,000,000']
['تیگو 8  پرو', '1402', 'صفر', '3,020,000,000']
['کوییک', '1400', '44,000', '371,000,000']
['تیبا 2', '1396', '45,000', '320,000,000']
['کوییک', '1402', 'صفر', '555,000,000']
['کوییک', '1399', '45,473', '385,000,000']
['جک S5', '1395', '94,000', '1,160,000,000']
['کوییک', '1401', '63,000', '379,000,000']
['پژو 206 صندوقدار', '1397', '90,976', '518,000,000']
['جک S5', '1402', '2,500', '1,640,000,000']
['آریزو 5 FL', '1402', '4,205', '1,350,000,000']
['جک S5', '1401', '19,000', '1,490,000,000']
['هیوندای النترا', '2014', '202,000', '1,900,000,000']
['کوییک', '1401', '20,797', '485,000,000']
['هایما S7 توربو', '1402', '8,445', '1,660,000,000']
['دنا پلاس', '1402', '300', '784,000,000']
['تیبا', '1391', '187,070', '245,000,000']
['هیوندای توسان', '2017', '74,442', '4,050,000,000']
['پژو پارس', '1396', '93,500', '525,000,000']
['کیا سورنتو', '2012', '176,000', '2,970,000,000']
['پراید 131', '1397', '97,565', '260,000,000']
['هایما s8', '1402', '65', '1,985,000,000']
['پژو 207', '1402', '8,632', '800,000,000']
['سمند LX', '1396', '121,000', '405,000,000']
['تویوتا پریوس', '2017', '113,618', '2,450,000,000']
['کوییک', '1400', '50,000', '360,000,000']
['رنو ساندرو', '1396', '53,698', '800,000,000']
['آریزو 6 پرو', '1402', '300', '1,700,000,000']
